Organism Group,Name,Synonyms,Growth Conditions
Bacterium,Heyndrickxia coagulans DSM 1,"
        ATCC 7050, BCRC 10606, CCM 2013, CCUG 7417, CECT 12, CFBP 4225, CIP 66.25, CN 2202, , DSM 1, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-1, , HAMBI 1931, IAM 1115, IAM 12463, IFO 12583, IMET 10993, , JCM 2257, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=1, , KCTC 3625, LMG 6326, NBRC 12583, NCCB 77025, NCFB 1761, NCIB 9365, NCIMB 9365, NCTC 10334, NRIC 1005, NRRL NRS-609, NRS 609, VKM B-497, VTT E-98150, WDCM 00002    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 1', 'growth_observed': 'Yes', 'growth_conditions': '40\xa0°C'}, {'media_title': '453: STANDARD I MEDIUM', 'media_link': '/medium/453?ccno=DSM 1', 'growth_observed': 'Yes', 'growth_conditions': '40\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 1', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Paenibacillus macquariensis subsp. macquariensis DSM 2,"
        ATCC 23464, CCUG 37394, CIP 103269, , DSM 2, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-2, , LMG 6935, NCTC 10419    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 2', 'growth_observed': 'Yes', 'growth_conditions': '20\xa0°C'}]"
Bacterium,Sporosarcina psychrophila DSM 3,"
        ATCC 23304, BCRC 11738, CCM 2117, CCUG 28886, CGMCC 1.3605, CIP 103267, , DSM 3, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-3, , IAM 12468, IFO 15381, , JCM 9075, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=3, , KCTC 3446, LMG 17352, LMG 6929, LMG 7131, NBRC 15381, NRRL B-3397, NRRL NRS-1530    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 3', 'growth_observed': 'Yes', 'growth_conditions': '20\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 3', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Sporosarcina globispora DSM 4,"
        ATCC 23301, CCM 2119, CCUG 7419, CGMCC 1.3607, CIP 103266, , DSM 4, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-4, , IAM 14760, IFO 16082, , JCM 10046, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=4, , , JCM 2509, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=4, , KCTC 3736, LMG 6928, NBRC 16082, NCIMB 11434, NRRL B-3396, NRRL NRS-1533, VKM B-1435    ","[{'media_title': '514: BACTO MARINE BROTH (DIFCO 2216)', 'media_link': '/medium/514?ccno=DSM 4', 'growth_observed': 'Yes', 'growth_conditions': '20\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 4', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Psychrobacillus insolitus DSM 5,"
        ATCC 23299, CCM 2175, CCUG 7420, , DSM 5, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-5, , NCIB 11433, NCIMB 11433    ","[{'media_title': '123: MARINE AGAR', 'media_link': '/medium/123?ccno=DSM 5', 'growth_observed': 'Yes', 'growth_conditions': '20\xa0°C'}]"
Bacterium,Peribacillus psychrosaccharolyticus DSM 6,"
        ATCC 23296, , DSM 13778, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-13778, , , DSM 6, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-6, , LMG 9580, NCIMB 11729    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 6', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}, {'media_title': '514: BACTO MARINE BROTH (DIFCO 2216)', 'media_link': '/medium/514?ccno=DSM 6', 'growth_observed': 'Yes', 'growth_conditions': '20\xa0°C'}]"
Bacterium,Bacillus amyloliquefaciens DSM 7,"
        ATCC 23350, CCUG 28519, , DSM 7, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-7, , Fukumoto strain F, NRRL B-14393    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 7', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Bacterium,Lederbergia lenta DSM 9,"
        ATCC 10840, BCRC 11735, CCM 2214, CCUG 1816, CECT 18, CIP 52.74, , DSM 9, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-9, , HAMBI 1918, IAM 12466, IAM 14178, IFO 15655, IFO 16413, IFO 16444, , JCM 2511, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=9, , LMG 12355, LMG 16798, LMG 9579, NBRC 15655, NBRC 16413, NBRC 16444, NCCB 48017, NCFB 1127, NCIB 8773, NCIMB 8713, NCIMB 8773, NCTC 4824, NRRL B-396, NRRL NRS-883, NRS 670, VKM B-500    ","[{'media_title': '220: CASO AGAR (Merck 105458)', 'media_link': '/medium/220?ccno=DSM 9', 'growth_observed': 'Yes', 'growth_conditions': '26\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 9', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Bacillus subtilis DSM 10,"
        ATCC 6051, BCRC 10255, CCM 2216, CCUG 163 B, CECT 39, CIP 52.65, , DSM 10, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-10, , IAM 12118, IFO 13719, IFO 16412, IMET 10758, , JCM 1465, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=10, , KCTC 3135, LMG 7135, NBRC 13719, NBRC 16412, NCFB 1769, NCIB 3610, NCIMB 3610, NCTC 3610, NRRL B-4219, NRRL NRS-744, NRS 744, UCCCB117, VKM B-501, VKM B-758, VKM B-919, VTT E-97009    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 10', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 10', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Niallia circulans DSM 11,"
        ATCC 24, ATCC 4513, ATCC 9140, BCRC 10605, CCM 2048, CCUG 7416, CECT 10, CIP 52.75, , DSM 11, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-11, , HAMBI 1911, IAM 12462, IAM 14175, IFO 13626, , JCM 2504, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=11, , KCTC 3347, LMG 13261, LMG 6926, NBRC 13626, NCCB 75011, NCFB 1775, NCIB 9374, NCIMB 9374, NCTC 2610, NRRL B-378, NRRL B-380, VKM B-1242, VTT E-95570    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 11', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}, {'media_title': '220: CASO AGAR (Merck 105458)', 'media_link': '/medium/220?ccno=DSM 11', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 11', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
